Month,Airline,Service_Country,Flights_In,Passengers_In,Seats_In,Flights_Out,Passengers_Out,Seats_Out,Year,Month_num
Jan-91,Aerolineas Argentinas,Argentina,10,2378,3000,10,1587,3000,1991,1
Jan-91,Air Caledonie,New Caledonia,22,2645,2860,21,1761,2730,1991,1
Jan-91,Air China,China,4,1028,1060,4,741,1060,1991,1
Jan-91,Air India,India,9,1440,3393,9,2150,3393,1991,1
Jan-91,Nauru Airlines,Nauru,5,334,493,6,360,592,1991,1
Jan-91,Air New Zealand,New Zealand,242,41759,57801,243,34873,57464,1991,1
Jan-91,Air Niugini,Papua New Guinea,47,3541,4937,47,3510,4937,1991,1
Jan-91,Fiji Airways,Fiji,48,10010,12388,47,6532,12036,1991,1
Jan-91,Air Vanuatu,Vanuatu,17,1824,2465,17,1422,2465,1991,1
Jan-91,Alitalia,Italy,12,3236,3897,12,2708,3897,1991,1
Jan-91,All Nippon Airways,Japan,21,5475,7810,21,5480,7798,1991,1
Jan-91,American Airlines,USA,17,2883,3859,17,1947,3859,1991,1
Jan-91,British Airways,New Zealand,13,1318,3088,14,1818,3474,1991,1
Jan-91,British Airways,UK,57,14419,22002,58,11363,22388,1991,1
Jan-91,Canadian Airlines International,Canada,13,2731,3315,13,2177,3315,1991,1
Jan-91,Cathay Pacific Airways,Hong Kong,60,20955,22137,60,13711,22137,1991,1
Jan-91,Continental Airlines,Guam,18,3634,5112,18,3289,5112,1991,1
Jan-91,Continental Airlines,New Zealand,13,4794,5304,13,4438,5304,1991,1
Jan-91,Continental Airlines,USA,69,21661,25526,67,17910,24896,1991,1
Jan-91,Federal Express Corporation,USA,11,0,0,0,0,0,1991,1
Jan-91,Garuda Indonesia,Indonesia,65,13193,16889,65,10193,16910,1991,1
Jan-91,Gulf Air,Bahrain,4,150,848,4,452,848,1991,1
Jan-91,Hawaiian Airlines,American Samoa,2,72,370,2,29,370,1991,1
Jan-91,Japan Airlines,Japan,51,16835,20859,51,16691,20793,1991,1
Jan-91,KLM Royal Dutch Airlines,Netherlands,4,1600,1712,4,1292,1712,1991,1
Jan-91,Korean Air,Korea,5,1737,1939,5,1415,1939,1991,1
Jan-91,Lauda Air,Austria,9,1252,1627,8,921,1384,1991,1
Jan-91,Lufthansa German Airlines,Germany,21,4097,5976,21,3588,5976,1991,1
Jan-91,Malaysia Airlines,Malaysia,44,10942,13056,44,9875,12665,1991,1
Jan-91,Malaysia Airlines,New Zealand,10,561,1415,9,574,1415,1991,1
Jan-91,Merpati Nusantara Airlines,Indonesia,9,554,720,9,486,720,1991,1
Jan-91,Olympic Airways,Greece,9,3493,3951,9,2515,3951,1991,1
Jan-91,Philippine Airlines,Philippines,21,5552,5734,21,3599,5734,1991,1
Jan-91,Polynesian Airlines,Western Samoa,10,1120,1480,10,1052,1480,1991,1
Jan-91,Qantas Airways,Argentina,0,309,500,0,156,500,1991,1
Jan-91,Qantas Airways,Fiji,0,3577,4182,0,3144,4265,1991,1
Jan-91,Qantas Airways,Germany,8,1694,2544,9,1682,2862,1991,1
Jan-91,Qantas Airways,Hong Kong,62,13638,17925,61,9318,17689,1991,1
Jan-91,Qantas Airways,Indonesia,35,9270,10781,35,8450,10781,1991,1
Jan-91,Qantas Airways,Italy,7,1589,2362,8,1749,2680,1991,1
Jan-91,Qantas Airways,Japan,121,20714,34245,121,24286,34177,1991,1
Jan-91,Qantas Airways,Malaysia,14,1869,2958,14,1299,3147,1991,1
Jan-91,Qantas Airways,New Caledonia,9,1473,1922,9,866,1922,1991,1
Jan-91,Qantas Airways,New Zealand,202,30750,47923,201,28248,47088,1991,1
Jan-91,Qantas Airways,Papua New Guinea,28,3396,4429,27,3631,4370,1991,1
Jan-91,Qantas Airways,Philippines,9,2181,2392,9,1067,2392,1991,1
Jan-91,Qantas Airways,Singapore,101,21936,30422,99,15805,28933,1991,1
Jan-91,Qantas Airways,Solomon Islands,4,268,424,4,300,424,1991,1
Jan-91,Qantas Airways,Thailand,31,4867,6558,31,4586,6558,1991,1
Jan-91,Qantas Airways,UK,62,17906,23083,62,14867,23148,1991,1
Jan-91,Qantas Airways,USA,94,26102,31420,96,21228,32158,1991,1
Jan-91,Qantas Airways,Zimbabwe,9,3054,3410,10,2378,3867,1991,1
Jan-91,Royal Brunei Airlines,Brunei,10,1006,1480,10,633,1480,1991,1
Jan-91,Singapore Airlines,Singapore,91,28681,34474,92,23093,34888,1991,1
Jan-91,Solomon Airlines,Solomon Islands,0,0,0,0,368,0,1991,1
Jan-91,Thai Airways International,Thailand,43,10503,13638,43,8074,13638,1991,1
Jan-91,Union de Transports Aeriens,France,10,1182,3390,9,594,2974,1991,1
Jan-91,Union de Transports Aeriens,New Caledonia,9,904,1664,10,909,2080,1991,1
Jan-91,Union de Transports Aeriens,Tahiti,4,11,520,4,11,520,1991,1
Jan-91,United Airlines,USA,62,20883,24862,62,17824,24862,1991,1
Jan-91,Yugoslav Airlines,Yugoslavia,9,1950,2493,9,1556,2493,1991,1
Feb-91,Aerolineas Argentinas,Argentina,8,1709,2400,8,1304,2400,1991,2
Feb-91,Air Caledonie,New Caledonia,20,1346,2600,20,2222,2600,1991,2
Feb-91,Air China,China,4,501,1060,4,609,1060,1991,2
Feb-91,Air India,India,1,158,377,1,234,377,1991,2
Feb-91,Nauru Airlines,Nauru,7,254,695,7,189,695,1991,2
Feb-91,Air New Zealand,New Zealand,213,30662,51241,212,30225,50420,1991,2
Feb-91,Air Niugini,Papua New Guinea,44,2347,4608,44,2849,4608,1991,2
Feb-91,Fiji Airways,Fiji,38,4064,9624,38,3757,9624,1991,2
Feb-91,Air Vanuatu,Vanuatu,16,1350,2320,16,1360,2320,1991,2
Feb-91,Alitalia,Italy,12,2181,3464,12,1568,3464,1991,2
Feb-91,All Nippon Airways,Japan,19,3952,7106,20,4342,7480,1991,2
Feb-91,American Airlines,USA,16,1725,3632,16,1393,3632,1991,2
Feb-91,British Airways,New Zealand,12,1038,3088,12,910,3088,1991,2
Feb-91,British Airways,UK,52,11632,20072,52,9922,20072,1991,2
Feb-91,Canadian Airlines International,Canada,12,1938,3020,12,1818,3020,1991,2
Feb-91,Cathay Pacific Airways,Hong Kong,49,17145,20500,49,12906,20500,1991,2
Feb-91,Continental Airlines,Guam,16,3119,4544,16,2750,4544,1991,2
Feb-91,Continental Airlines,New Zealand,12,2638,4896,12,2124,4896,1991,2
Feb-91,Continental Airlines,USA,64,14801,23462,64,12805,23462,1991,2
Feb-91,Federal Express Corporation,USA,12,0,0,0,0,0,1991,2
Feb-91,Garuda Indonesia,Indonesia,57,8389,14931,57,6632,14931,1991,2
Feb-91,Hawaiian Airlines,American Samoa,4,289,740,4,279,740,1991,2
Feb-91,Japan Airlines,Japan,42,10758,17734,43,11808,18132,1991,2
Feb-91,KLM Royal Dutch Airlines,Netherlands,4,1400,1712,4,1053,1712,1991,2
Feb-91,Korean Air,Korea,4,828,1604,4,776,1604,1991,2
Feb-91,Lauda Air,Austria,8,691,1384,8,535,1384,1991,2
Feb-91,Lufthansa German Airlines,Germany,24,2866,5312,24,2083,5312,1991,2
Feb-91,Malaysia Airlines,Malaysia,39,9443,11897,40,9892,11860,1991,2
Feb-91,Malaysia Airlines,New Zealand,8,271,1132,7,360,1132,1991,2
Feb-91,Merpati Nusantara Airlines,Indonesia,8,296,640,8,376,640,1991,2
Feb-91,Olympic Airways,Greece,8,2827,3512,8,1769,3512,1991,2
Feb-91,Philippine Airlines,Philippines,19,4061,4812,19,3449,4812,1991,2
Feb-91,Polynesian Airlines,Western Samoa,8,592,1184,8,707,1184,1991,2
Feb-91,Qantas Airways,Argentina,0,216,400,0,157,400,1991,2
Feb-91,Qantas Airways,Fiji,0,2088,2749,0,2108,2749,1991,2
Feb-91,Qantas Airways,Germany,6,1162,1898,5,526,1580,1991,2
Feb-91,Qantas Airways,Hong Kong,62,13304,18556,62,10995,18556,1991,2
Feb-91,Qantas Airways,Indonesia,30,6709,8934,30,5932,8934,1991,2
Feb-91,Qantas Airways,Italy,8,1158,2524,8,1167,2519,1991,2
Feb-91,Qantas Airways,Japan,109,16080,29402,107,16468,29184,1991,2
Feb-91,Qantas Airways,Malaysia,12,1621,2554,12,1014,2554,1991,2
Feb-91,Qantas Airways,New Caledonia,8,883,1885,8,1482,1885,1991,2
Feb-91,Qantas Airways,New Zealand,166,24848,38926,166,25974,39151,1991,2
Feb-91,Qantas Airways,Papua New Guinea,24,1924,3840,24,2255,3840,1991,2
Feb-91,Qantas Airways,Philippines,8,1441,1824,8,1056,1824,1991,2
